str_no_string|ŽÁDNÝ TEXT!
; str_npc25_intro_response_1|What are you?
; str_npc26_intro_response_1|Who are you?
str_npc27_intro_response_1|Eh, cože?
str_npc28_intro_response_1|Kdo jsi?
; str_npc1_intro_response_2|I wish you a good day, Ser.
; str_npc2_intro_response_2|I have better things to do.
; str_npc3_intro_response_2|Run along now, boy. I have work to do.
; str_npc4_intro_response_2|Eh? No thanks, I'm full.
; str_npc5_intro_response_2|I have no time for that.
; str_npc6_intro_response_2|No, I do not.
; str_npc7_intro_response_2|Right. I'll not bother you, then.
; str_npc8_intro_response_2|Nothing at all, from one so clearly disinclined to offer pleasantries. Good day to you.
; str_npc9_intro_response_2|Fetch it yourself!
; str_npc10_intro_response_2|I'm busy, and have no time for games.
; str_npc11_intro_response_2|I think not.
; str_npc12_intro_response_2|Sorry, I am afraid that I am otherwise engaged right now.
; str_npc13_intro_response_2|Well... how... splendid.
; str_npc14_intro_response_2|Nothing at all. My apologies.
; str_npc15_intro_response_2|I'd be obliged if you minded your own business.
; str_npc16_intro_response_2|Mind your own business.
; str_npc17_intro_response_2|Very well then.
; str_npc18_intro_response_2|I'm not protecting a stranger. Be gone.
; str_npc19_intro_response_2|Well then, good day to you.
; str_npc20_intro_response_2|Nothing, I'm sorry to bother you.
; str_npc21_intro_response_2|I imagine praying to the Stranger would be more fitting, seeing as how you insult your betters.
; str_npc22_intro_response_2|I'm sorry, I won't bother you again.
; str_npc23_intro_response_2|I'll mind the drunkards.
; str_npc24_intro_response_2|Nevermind.
; str_npc25_intro_response_2|Right...
; str_npc26_intro_response_2|Nothing.
str_npc27_intro_response_2|Ah, tak nic.
str_npc28_intro_response_2|Nic.
; str_npc1_backstory_a|Well, it's a ponderous tale...
; str_npc2_backstory_a|It's quite the tragic tale. Sit down, sit down! No point standing up.
; str_npc3_backstory_a|You look like a man of war, do you by any chance need a young squire?
; str_npc4_backstory_a|Really? Well, perhaps you can be forgiven, being the savage mongrel that you are. Our ancestral lands lie far to the east, in Slaver's Bay.
; str_npc5_backstory_a|I am Ser Felton Flowers, the former master-of-arms at the Eyrie.
; str_npc6_backstory_a|I am Martyn Snow, a bastard born in the North. I am also a sellsword, which is ever more important than my birth.
; str_npc7_backstory_a|You have the honor of speaking to Ser Jasper Rivers, son of Ser Stevron Frey, trueborn son of lord Walder Frey, the Lord of the Crossing.
; str_npc8_backstory_a|Ah. Well, that sounds rather good. I shall gladly join you. You're paying.
; str_npc9_backstory_a|My most humble apologies. It is sometimes hard to recognize folk amid the smoke and gloom here. I still cannot believe that I must make my home in such a place. What a horrible fate that has befallen me!
; str_npc10_backstory_a|Oh well, a shame, I find that the game keeps my mind sharp. Say, do you by any chance need a an officer in your company? I find myself without an opportunity to make use of my considerable lungs, shouting at maggots to fall back in line.
; str_npc11_backstory_a|Why, I won the archery competition held by lord Hightower last year, and I have been drinking my way across the world ever since!
; str_npc12_backstory_a|I shall tell you -- but know that it is a tale of gross iniquity. I warn you in advance, lest you are of a choleric temperament, and so become incensed at the injustice done unto me that you do yourself harm.
; str_npc13_backstory_a|I am the fifth son of my father, Ser Edwyn, and as such, it seems to me being somewhat unlikely that I will ever inherit anything of value. So I have been travelling the world these last eight months, trying to find a noble lord to whom I might swear allegiance.
; str_npc14_backstory_a|Very well. I do not mind. My name is Drollo.
; str_npc15_backstory_a|I'm an engineer, trained in the great city of Braavos, and I specialize in fortifications. If you need a wall knocked down, I can do that, given enough time. If you need a wall built back up, I can do that too, although it will take longer and cost you more. And you can't cut costs, either, unless you want your new edifice coming down underneath you, as someone around here has just found out.
; str_npc16_backstory_a|Well, as long as I can remember I've had a weakness for pretty things, and it's gotten me into trouble, you see.
; str_npc17_backstory_a|Oh never mind me, I was just in the middle of composing a voluptous poem about the illustrious high steward of Qohor, Logon Votyris, a lowborn leech-catcher who rose to his position during the reign of the tyrant Byan Mentarios.
; str_npc18_backstory_a|My father, my brother, the village elder... Everyone! They have been searching for me ever since I ran away. I'm telling you, I'm innocent, not every bastard is evil!.
; str_npc19_backstory_a|Ah, my humble apologies, I quite forgot that not everyone speaks the exalted language of my great home.
; str_npc20_backstory_a|What every soldier alone does, I'm looking for employment.
; str_npc21_backstory_a|Oh, I am the greatest of sinners! Descended from a great line of sinners! House Parren was once pious and just, until my dishonorable ancestor travelled to Lys with Aerion Brightflame in his exile. When Aerion died from drinking wildfire, my forefather dipped the servants in the same substance and was responsible for the great fire that destroyed the western quarter of the city.
; str_npc22_backstory_a|It's those blasted knights... They ruined everything!
; str_npc23_backstory_a|I could, I could! But I'm sure my mother would be much more informative than me. I've always been more of a fighter than a scholar, just like all the other women of my family. We're too busy fending off men to pick up anything but an axe.
; str_npc24_backstory_a|People call me Roddy. Or, well, people in King's Landing does. Used to be everyone in King's Landing knew my name. 'There goes Roddy' they'd say, 'bravest man in all of the city watch'. Then that vicious son of a whore, Tywin Lannister, came and sacked the city. Told Aerys he came as a friend, then turned his cloak and betrayed his king. Bah!
; str_npc25_backstory_a|BLOOD SO RED! SO RED! So sweet, sweet screams, pretty screams, singing screams, scream your song, sing your screams...
; str_npc26_backstory_a|I am Caul, former chieftain of the Red Sparrows.
; str_npc27_backstory_a|Hah, I'm just yanking your tail, ain't pondering anything. Bit drunk though. But ah, what can I do for you? People call me Melly Waterman, because, well, it's my name.
; str_npc28_backstory_a|Who's asking? Did she send you, the whore? Tell her that I'm not interested. Wandering across half the world like some sun-mad camel is what she had me doing! Bah!
; str_npc1_backstory_b|I competed in the great tourney at Harrenhal, ages ago, in what some call 'The Year of the False Spring'. How the armor of the knights and lords shone that day, with none brighter than the Prince of Dragonstone! Prince Rhaegar was unstoppable, but I also acquitted myself well. However, in my last joust, I accidently killed the nephew of old lord Vance. There is no greater dishonor for a knight, and every lord and lady in the realm saw me that day.
; str_npc2_backstory_b|I was on my way to Pentos, out of King's Landing, with a cargo of spices and peppers from Dorne. I owned my own trading vessel in those days, a beautiful galleon with a figurehead showing the Maiden. We lay in at Dragonstone for water, when I was accosted by Stannis Baratheons castellan, a Florent if I ever saw one. Those ears! Anyhow, he comes and tells me that my ship is now in the service of the king. It seems Stannis is amasing an army on Dragonstone, and in order to transport it, he needs every single ship he can get his hands on. They emptied my hulls and gave me a slip of paper promising to pay me for my losses once Stannis comes into his kingdom. Much good that'll do me now.
; str_npc3_backstory_b|I used to squire for Ser Halbert Stone, of Willow Tree, but he died of the bloody flux, and I know no other trade.
; str_npc4_backstory_b|My family is one of the most prominent of Astapor, or rather was. A dragon has descended on the city and burned the Good Masters! I was on my way to Volantis when I heard about it, and I have been moving ever westwards since. Proud my people might be, but I am no fool. I know my history. Five times, the Ghiscare Empire challenged the Freehold of Valyria, and five times my great ancestors where humbled and, in the end, they where burned. Legions of soldiers are no match for dragons.
; str_npc5_backstory_b|I was promoted shortly after lord Jon left to take up his position as Hand of the King in King's Landing. With most of his household following him, the Eyrie did, in truth, not need a master of arms. But who was I to question Jon Arryns wisdom. It payed well, it was a position of fair respect for a man bastard born, and I did not want for nothing.
; str_npc6_backstory_b|I have served for some time with the Second Sons, so I am no stranger to battle. But now I seek to make my fortune, and that does not happen as a mere man-at-arms in a sellsword company.
; str_npc7_backstory_b|My father has sent me out to gain some experience in the service of a master other than my lord grandfather, that I may increase the honor of our house, or so my brother Ryman told me.
; str_npc8_backstory_b|I suppose you want my story, eh? I do not intend to tell you anything.
; str_npc9_backstory_b|I was the firstborn son of my father, a nobleman of Pentos. But my mother died in childbirth, and when I was but ten, my father remarried. His new wife soon mothered many a child, and conspired to have me replaced as my fathers heir. When my younger brother died, she told my father I had pushed him off the balcony! Bah!, the fool probably climbed unto the damned thing himself.
; str_npc10_backstory_b|I used to command the household guard of Ser Boros Wensington, but he died without an heir and when his holdfast was inherited by his relatives, they appointed a new captain of their guard. I imagine my rugged good looks and, perhaps more so, my dornish heritance might have had something to do with it. I've spent the last year playing cyvasse, waiting for someone worthy to cross my path.
; str_npc11_backstory_b|I bested Ser Rolland Storm, the Bastard of Nightsong! A genial man, he even congratulated me afterwards! I heard he's recently taken service with lord Stannis, or King Stannis as he calls himself now. Perhaps I ought to seek him out, see if he'd like to have a rematch!
; str_npc12_backstory_b|I am by training a maester of the Citadel, but condemned by the jealousy of the thick-headed Archmaesters of my brotherhood to make my living as an itinerant barber. I was hired by a merchant of Ashford to cure his son, who fell into a coma after a fall from his balcony. I successfully trepanned the patient's skull to reduce the cranial swelling, but the family ignored my advice to treat the ensuing fevers with a tincture of willow bark, and the boy died. The father, rather than reward me for my efforts, charged me with sorcery -- me, a maester of the Citadel! Such is the ignorance and ingratitude of mankind.
