dlga_start:lco_conversation_end|Ha! Vous êtes là!
dlga_village_farmer_talk:close_window.1|Continuez dans ce cas. Au revoir. 
dlga_start:minister_issues|Je suis à votre service, {messire/madame} 
dlga_start:close_window.7|Ça a été un honneur pour moi de vous servir, {mon seigneur/ma dame}.
dlga_start:member_castellan_talk|Oui, {playername} ? Que puis-je faire pour vous ? 
dlga_member_castellan_pretalk:member_castellan_talk|Autre chose ? 
dlga_member_castellan_talk:member_review_castle_garrison|Je veux passer en revue la garnison du château. 
dlga_member_review_castle_garrison:member_castellan_pretalk|Bien sûr. Voici nos listes, faites-le moi savoir si vous voulez y changer quoi que ce soit... 
dlga_member_castellan_talk:member_review_castellan_equipment|Laissez-moi jeter un œil à votre équipement. 
dlga_member_review_castellan_equipment:member_castellan_pretalk|Très bien, tout est là... 
dlga_member_castellan_talk:member_castellan_join|Je veux que vous quittiez le château et que vous vous joigniez à mon armée. 
dlga_member_castellan_join:close_window|J'ai grandi ici et j'aime cet endroit... Mais si tel est votre désir, je viendrai avec vous. 
dlga_member_castellan_join:member_castellan_pretalk|Et où dormirons-nous ? Vous avez une immense armée avec vous, {playername}, il n'y aura pas de place pour nous. 
dlga_member_castellan_talk:close_window|[Partir] 
dlga_member_chat:kidnapped_girl_chat_1|Sommes-nous bientôt arrivés ? 
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Pas encore. 
dlga_kidnapped_girl_chat_2:close_window|Je ne puis attendre davantage. Ma famille me manque tellement... Je donnerais n'importe quoi pour la revoir. 
dlga_member_chat:member_lady_1|{playername}, quand pensez-vous que nous arriverons à destination ? 
dlga_member_lady_1:member_lady_2a|Nous avons encore un long chemin à parcourir. 
dlga_member_lady_1:member_lady_2b|Très bientôt. Nous y sommes presque. 
dlga_member_lady_2a:close_window|Ah, dans ce cas je suppose qu'il va falloir que je m'habitue à voyager. Je ne me plaindrai plus. Je trouve que la vie au grand air est bien plus plaisante que de rester enfermé toute la journée dans un château. Comme je vous envie, vous qui menez cette vie... 
dlga_member_lady_2b:close_window|C'est une bonne nouvelle. Oh, ce n'est pas que votre compagnie me déplaise mais la vie de château me manque un peu. Il n'empêche que je suis triste que nous devions nous séparer. J'espère que vous viendrez me voir souvent. 
dlga_member_chat:supported_pretender_talk|Salutations {playername}, le premier et le meilleur de mes vassaux. J'ai besoin de vos conseils. 
dlga_supported_pretender_pretalk:supported_pretender_talk|Autre chose ? 
dlga_supported_pretender_talk:pretender_progress|Que pensez-vous de notre progression, jusqu'ici ? 
dlga_pretender_progress:pretender_progress_2|{reg11?Nous avons {reg11} seigneurs de notre coté:Nous n'avons aucun seigneur avec nous pour le moment}, tandis que {reg21?{s9} a encore {reg21} seigneurs:{s9} n'a plus aucun seigneur} à ses ordres. {reg19?Nous contrôlons {reg13?{reg13} villes,:} {reg14?{reg14} châteaux,:} {reg15?et {reg15} villages,:}:Nous sommes sans terre, } alors qu'{reg29?ils possèdent {reg23?{reg23} villes,:} {reg24?{reg24} châteaux,:} {reg25?et {reg25} villages.:}:il ne leur reste plus aucune terre.} Dans l'ensemble, {s30}. 
dlga_pretender_progress_2:supported_pretender_pretalk|Alors nous devons continuer à nous battre et motiver les troupes ! 
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Il me semble que cette rébellion ne mènera nulle part. Je pense que nous devrions renoncer. 
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, vous ne pouvez pas m'abandonner maintenant ! Êtes-vous sérieux ? 
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Oui je le suis. Je n'en peux plus de cette guerre. 
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Je plaisantais. Bien sûr que je me battrai jusqu'à la victoire. 
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|En êtes-vous absolument certain ? Je vous prie de croire que je ne vous le pardonnerai jamais. 
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Oui, j'en suis certain. 
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Vous avez raison, je dois encore y réfléchir. 
dlga_pretender_quit_rebel:close_window|Eh bien, qu'il en soit ainsi... Dans ce cas ma cause est perdue. Il ne me reste plus qu'une chose à faire, je vais quitter le pays pour ne plus jamais y revenir. 
dlga_supported_pretender_talk:supported_pretender_equip|Me permettez-vous de jeter un œil à votre équipement ? 
dlga_supported_pretender_equip:supported_pretender_pretalk|Oui, allez-y... 
dlga_supported_pretender_talk:pretneder_view_char_requested|Si cela vous convient, pouvons-nous discuter de vos compétences ? 
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Soit. 
dlga_supported_pretender_talk:supported_pretender_grant_fief|Je suggère que vous décidiez à qui attribuer un fief qui n'est en ce moment tenu par personne.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|À quel fief pensez-vous ?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|Et à qui doit-on l'attribuer ?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Rien, continuons.
; dlga_supported_pretender_talk:close_window|Let us keep going, your grace.
dlga_do_member_trade:member_talk|Autre chose ? 
dlga_member_pretalk:member_talk|Autre chose ? 
; dlga_member_chat:member_talk|Yes?
dlga_member_talk:member_direct_campaign|En tant que maréchal, j'aimerais faire parvenir un message aux vassaux du royaume 
dlga_member_talk:member_talk_about_books|Parlons un peu de livres.
dlga_member_talk_about_books:player_talk_about_books|Bien, que voulez-vous faire? 
dlga_player_talk_about_books:member_exchange_books|Echangeons des livres.
dlga_member_exchange_books:member_exchange_books_type|Très bien quel livre vous voulez échanger?
dlga_member_exchange_books_type:member_exchange_readable_books|Un livre intéressant.
dlga_member_exchange_books_type:member_exchange_reference_books|Un livre de référence.
dlga_member_exchange_books_type:member_talk_about_books|Rien.
dlga_member_exchange_readable_books:member_exchange_readable_books_1|Très bien, échangeons un livre intéressant.
dlga_member_exchange_reference_books:member_exchange_reference_books_1|Très bien, échangeons un livre de référence.
dlga_member_exchange_readable_books_1:member_take_back_readable_books|Reprenez {s1}({s2}).
dlga_member_exchange_readable_books_1:member_give_away_readable_books|Donnez {s1}({s2}).
dlga_member_exchange_readable_books_1:member_talk_about_books|Rien.
dlga_member_take_back_readable_books:member_exchange_readable_books_1|OK, très bien.
dlga_member_give_away_readable_books:member_exchange_readable_books_1|OK, très bien.
dlga_member_exchange_reference_books_1:member_take_back_reference_books|Reprenez {s1}.
dlga_member_exchange_reference_books_1:member_give_away_reference_books|Donnez {s1}.
dlga_member_exchange_reference_books_1:member_talk_about_books|Rien.
dlga_member_take_back_reference_books:member_exchange_reference_books_1|OK, très bien.
dlga_member_give_away_reference_books:member_exchange_reference_books_1|OK, très bien.
dlga_player_talk_about_books:member_read_books|Je veux lire un livre que je vous ai donné.
dlga_member_read_books:member_select_read_books|Très bien de quel livre parlez-vous?
dlga_member_select_read_books:member_read_books_begin|{s1},
dlga_member_select_read_books:member_talk_about_books|OK.
dlga_member_read_books_begin:member_select_read_books|Je suis désolé, je ne peux pas lire {s1}.
dlga_member_read_books_begin:member_select_read_books.1|Je suis désolé j'ai déjà lu {s1}.
dlga_member_read_books_begin:member_select_read_books.2|OK, je vais lire {s1} dès que j'en aurai le temps.
dlga_player_talk_about_books:member_tell_read_books_condition|Dites-moi où vous en êtes de votre lecture.
; dlga_member_tell_read_books_condition:member_tell_read_books_condition_1|{reg4?I have read these books: {s0}:I have read no books}.^{reg1?I am currently reading: {s1}, reading progress:{reg2}.{reg3}%:I am not reading any books now}.
; dlga_member_tell_read_books_condition_1:member_talk_about_books|That's all I needed to know.
dlga_player_talk_about_books:member_chat|Rien.
dlga_member_talk:member_personal_talk|Je voudrais vous suggérer quelque chose à propos de votre équipement.
dlga_member_personal_talk:member_personal_action|Que voulez-vous faire?
dlga_member_personal_action:member_transfer_inventory|Donnez moi tout ce qui se trouve dans votre inventaire.
dlga_member_transfer_inventory:do_member_personal_action|Ok, voilà...
dlga_member_personal_action:member_equipment|Laissez-moi voir votre équipement.
dlga_member_equipment:do_member_personal_action|Très bien, tout est ici...
dlga_member_personal_action:member_inventory|Laissez-moi voir votre inventaire.
dlga_member_inventory:do_member_personal_action|Très bien, tout est ici...
dlga_member_personal_action:member_chat|Rien.
dlga_do_member_personal_action:member_personal_action|Autre chose?
dlga_member_talk:view_member_char_requested|Que pouvez-vous me dire sur vos compétences?
dlga_view_member_char_requested:do_member_view_char|A vos ordres, mes compétences sont...
dlga_member_talk:member_separate|Il faut que nous nous séparions. 
dlga_member_separate:close_window|Très bien je vais retourner à mes occupations habituelles...
dlga_member_separate:member_separate_confirm|Vraiment ? Et bien dans ce cas je ne vais pas m'attarder ici. Je vais en ville chercher du travail. Mais êtes-vous sûr de votre décision ? 
dlga_member_separate:companion_quitting|En fait, j'aurais besoin de vous dire quelque chose. 
dlga_member_separate_confirm:member_separate_yes|Oui, c'est ici que nos routes se séparent. 
dlga_member_separate_confirm:do_member_trade|Non, réflexion faite, je préfère vous avoir à mes cotés. 
dlga_member_separate_yes:close_window|Bien, je m'en vais dans ce cas. Revenez me voir si vous avez besoin de moi. 
dlga_member_talk:member_question|Je voudrais vous demander quelque chose. 
dlga_member_talk:close_window|Non, rien. 
dlga_member_question:member_question_2|Entendu. Que voulez-vous savoir ? 
dlga_member_question_2:member_morale|Que pensez-vous de la tournure que prennent les évènements ? 
dlga_member_question_2:member_background_recap|Racontez-moi à nouveau votre histoire. 
dlga_member_question_2:member_kingsupport_1|Je suppose que vous savez que j'aspire à régner sur cette terre ? 
dlga_member_question_2:member_intelgathering_1|Avez-vous des relations susceptibles de jouer en notre faveur ? 
dlga_member_question_2:member_fief_grant_1|Que diriez-vous de posséder un fief ? 
dlga_member_morale:do_member_trade|{s21} 
; dlga_member_background_recap:member_background_recap_33|{s5}
; dlga_member_background_recap_33:member_background_recap_3|{s5}
; dlga_member_background_recap_3:do_member_trade|There's not much more to tell.
dlga_do_member_view_char:member_talk|Autre chose ? 
dlga_member_kingsupport_1:do_member_trade|Um... Oui. J'avais entendu. 
dlga_member_kingsupport_1:member_kingsupport_1a|{s21} 
dlga_member_kingsupport_1a:member_kingsupport_2|Allez-vous rallier ma cause ? 
dlga_member_kingsupport_1a:do_member_trade|Très bien. Je m'en souviendrai. 
dlga_member_kingsupport_2:do_member_trade|Oui, {s21}. Qui plus est, j'ai une proposition à vous faire pour vous aider à accéder au trône. Mais vous venez d'envoyer {s22} pour une mission similaire. On devrait peut-être attendre un peu pour éviter d'attirer l'attention. 
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Très bien. Allez-y. 
dlga_member_kingsupport_3a:do_member_trade|À la réflexion, restez à mes côtés encore un peu. 
dlga_member_kingsupport_4:close_window|Eh bien, au revoir, {s21}, et à bientôt. 
dlga_member_intelgathering_1:member_intelgathering_3|{s21} 
dlga_member_intelgathering_3:member_intelgathering_3|Bien sûr, il est important que cela ne s'ébruite pas. Pour glaner des informations ou me sortir de là, n'envoyez personne. Venez par vous-même, même si pour cela, vous devez vous déguiser et jouer les manants. 
dlga_member_intelgathering_3:member_intelgathering_4|Bonne idée... Allez-y. 
dlga_member_intelgathering_3:do_member_trade|En fait, tenez-vous en à distance pour l'instant. 
dlga_member_intelgathering_4:close_window|Parfait. Je devrais pouvoir vous donner des nouvelles dans environ cinq jours. Pour l'heure, je vous souhaite bonne route, {s21}. 
dlga_merchant_quest_4_start:close_window|C'est le moment les gars ! Grouillez-vous ! 
; dlga_start:relative_saved_1a|Thank you! Thank you, {my lord/my lady}, for rescuing me from those fiends. Did my brother in {s9} put you onto their track?
dlga_relative_saved_1a:close_window|Oui. Je lui ai dit que je vous retrouverais. Je vous conseille de retourner dans votre famille le plus vite possible, et d'être prudent sur la route cette fois !
dlga_start:bandit_leader_1a|Non ! Épargnez-moi ! Laissez-moi la vie sauve ! Je vous le jure, je m'en irai loin d'ici. J'ouvrirai un commerce honnête et vous n'entendrez plus jamais parler de moi ! 
dlga_bandit_leader_1a:bandit_leader_1b|Je vais te laisser vivre, mais en échange, je veux des informations. Toi et tes compagnons avez capturé le frère d'un riche marchand. Dis-moi où vous le cachez, et donne-moi ta parole que vous cesserez de vous en prendre aux gens dans cette région, et tu pourras partir. 
dlga_start:looter_leader_1|Que voulez-vous ? 
dlga_looter_leader_1:looter_leader_2|Je vous cherchais. Dites-moi où vous gardez vos prisonniers, et vous resterez en vie. 
dlga_looter_leader_1:close_window|Rien... Nous vous laissons en paix.
dlga_looter_leader_2:looter_leader_3|Ah ! Ces prisonniers ne seront libérés que contre rançon. Nous l'amenez-vous ?
dlga_looter_leader_3:close_window|Non, mais j'apporte du fer ! 
dlga_bandit_leader_1b:close_window|Oh, soyez béni, {sire/madame}. Soyez béni. Nous n'avons pas fait de mal au garçon. Nous le détenons dans notre repaire près de {s9}. Je décrirais la zone alentours en détails, vous ne pourrez pas vous tromper... 
